Department,ProgramLevel,Year,BatchYear,RegisterNumber,Student Name,Email
B.Sc Computer Science,UG,2,25,82302530126,Aditya Mukherjee,82302530126@hicas.ac.in
B.Sc Computer Science,UG,2,25,82302530127,Abhinav Kapoor,82302530127@hicas.ac.in
B.Sc Computer Science,UG,2,25,82302530128,Nikhil Nair,82302530128@hicas.ac.in
B.Sc Computer Science,UG,2,25,82302530129,Ritvik Shukla,82302530129@hicas.ac.in
B.Sc Computer Science,UG,2,25,82302530130,Anika Pandey,82302530130@hicas.ac.in
B.Sc Computer Science,UG,2,25,82302530131,Prisha Rao,82302530131@hicas.ac.in
B.Sc Computer Science,UG,2,25,82302530132,Ritvik Mishra,82302530132@hicas.ac.in
B.Sc Computer Science,UG,2,25,82302530133,Anaya Kapoor,82302530133@hicas.ac.in
B.Sc Computer Science,UG,2,25,82302530134,Lavanya Shukla,82302530134@hicas.ac.in
B.Sc Computer Science,UG,2,25,82302530135,Pari Bose,82302530135@hicas.ac.in
B.Sc Computer Science,UG,2,25,82302530136,Shaurya Das,82302530136@hicas.ac.in
B.Sc Computer Science,UG,2,25,82302530137,Ishaan Gupta,82302530137@hicas.ac.in
B.Sc Computer Science,UG,2,25,82302530138,Vaishnavi Verma,82302530138@hicas.ac.in
B.Sc Computer Science,UG,2,25,82302530139,Myra Das,82302530139@hicas.ac.in
B.Sc Computer Science,UG,2,25,82302530140,Vaishnavi Yadav,82302530140@hicas.ac.in
B.Sc Computer Science,UG,3,24,82302430101,Manav Pandey,82302430101@hicas.ac.in
B.Sc Computer Science,UG,3,24,82302430102,Ira Kapoor,82302430102@hicas.ac.in
B.Sc Computer Science,UG,3,24,82302430103,Rajat Gupta,82302430103@hicas.ac.in
B.Sc Computer Science,UG,3,24,82302430104,Ishaan Jain,82302430104@hicas.ac.in
B.Sc Computer Science,UG,3,24,82302430105,Anaya Nair,82302430105@hicas.ac.in
B.Sc Computer Science,UG,3,24,82302430106,Anjali Iyer,82302430106@hicas.ac.in
B.Sc Computer Science,UG,3,24,82302430107,Keerthi Reddy,82302430107@hicas.ac.in
B.Sc Computer Science,UG,3,24,82302430108,Shaurya Mishra,82302430108@hicas.ac.in
B.Sc Computer Science,UG,3,24,82302430109,Atharv Mukherjee,82302430109@hicas.ac.in
B.Sc Computer Science,UG,3,24,82302430110,Saanvi Mehta,82302430110@hicas.ac.in
B.Sc Computer Science,UG,3,24,82302430111,Meera Nair,82302430111@hicas.ac.in
B.Sc Computer Science,UG,3,24,82302430112,Sameer Kapoor,82302430112@hicas.ac.in
B.Sc Computer Science,UG,3,24,82302430113,Meera Bose,82302430113@hicas.ac.in
B.Sc Computer Science,UG,3,24,82302430114,Jiya Das,82302430114@hicas.ac.in
B.Sc Computer Science,UG,3,24,82302430115,Sara Bhatt,82302430115@hicas.ac.in
B.Sc Computer Science,UG,3,24,82302430116,Aarav Chaudhary,82302430116@hicas.ac.in
B.Sc Computer Science,UG,3,24,82302430117,Aarohi Reddy,82302430117@hicas.ac.in
B.Sc Computer Science,UG,3,24,82302430118,Saanvi Pandey,82302430118@hicas.ac.in
B.Sc Computer Science,UG,3,24,82302430119,Myra Pillai,82302430119@hicas.ac.in
B.Sc Computer Science,UG,3,24,82302430120,Nikhil Pillai,82302430120@hicas.ac.in
B.Sc Computer Science,UG,3,24,82302430121,Pari Rao,82302430121@hicas.ac.in
B.Sc Computer Science,UG,3,24,82302430122,Sai Menon,82302430122@hicas.ac.in
B.Sc Computer Science,UG,3,24,82302430123,Manav Singh,82302430123@hicas.ac.in
B.Sc Computer Science,UG,3,24,82302430124,Vikram Sharma,82302430124@hicas.ac.in
B.Sc Computer Science,UG,3,24,82302430125,Aarohi Pandey,82302430125@hicas.ac.in
B.Sc Computer Science,UG,3,24,82302430126,Aarohi Das,82302430126@hicas.ac.in
B.Sc Computer Science,UG,3,24,82302430127,Diya Pillai,82302430127@hicas.ac.in
B.Sc Computer Science,UG,3,24,82302430128,Dhruv Jain,82302430128@hicas.ac.in
B.Sc Computer Science,UG,3,24,82302430129,Tara Reddy,82302430129@hicas.ac.in
B.Sc Computer Science,UG,3,24,82302430130,Keerthi Mishra,82302430130@hicas.ac.in
B.Sc Computer Science,UG,3,24,82302430131,Pranav Banerjee,82302430131@hicas.ac.in
B.Sc Computer Science,UG,3,24,82302430132,Navya Jain,82302430132@hicas.ac.in
B.Sc Computer Science,UG,3,24,82302430133,Meera Patel,82302430133@hicas.ac.in
B.Sc Computer Science,UG,3,24,82302430134,Shaurya Chopra,82302430134@hicas.ac.in
B.Sc Computer Science,UG,3,24,82302430135,Anjali Singh,82302430135@hicas.ac.in
B.Sc Computer Science,UG,3,24,82302430136,Myra Pillai,82302430136@hicas.ac.in
B.Sc Computer Science,UG,3,24,82302430137,Divya Jain,82302430137@hicas.ac.in
B.Sc Computer Science,UG,3,24,82302430138,Tara Sharma,82302430138@hicas.ac.in
B.Sc Computer Science,UG,3,24,82302430139,Meera Rao,82302430139@hicas.ac.in
B.Sc Computer Science,UG,3,24,82302430140,Anaya Sharma,82302430140@hicas.ac.in
BCA - Bachelor of Computer Applications,UG,1,26,82302630201,Sai Shukla,82302630201@hicas.ac.in
BCA - Bachelor of Computer Applications,UG,1,26,82302630202,Rajat Pandey,82302630202@hicas.ac.in
BCA - Bachelor of Computer Applications,UG,1,26,82302630203,Aditi Mukherjee,82302630203@hicas.ac.in
BCA - Bachelor of Computer Applications,UG,1,26,82302630204,Pranav Gupta,82302630204@hicas.ac.in
BCA - Bachelor of Computer Applications,UG,1,26,82302630205,Vihaan Gupta,82302630205@hicas.ac.in
BCA - Bachelor of Computer Applications,UG,1,26,82302630206,Lavanya Yadav,82302630206@hicas.ac.in
BCA - Bachelor of Computer Applications,UG,1,26,82302630207,Reyansh Nair,82302630207@hicas.ac.in
BCA - Bachelor of Computer Applications,UG,1,26,82302630208,Aarohi Dutta,82302630208@hicas.ac.in
BCA - Bachelor of Computer Applications,UG,1,26,82302630209,Bhavya Nair,82302630209@hicas.ac.in
BCA - Bachelor of Computer Applications,UG,1,26,82302630210,Anjali Verma,82302630210@hicas.ac.in
BCA - Bachelor of Computer Applications,UG,1,26,82302630211,Shruti Kumar,82302630211@hicas.ac.in
BCA - Bachelor of Computer Applications,UG,1,26,82302630212,Ishaan Chaudhary,82302630212@hicas.ac.in
BCA - Bachelor of Computer Applications,UG,1,26,82302630213,Aadhya Verma,82302630213@hicas.ac.in
BCA - Bachelor of Computer Applications,UG,1,26,82302630214,Atharv Das,82302630214@hicas.ac.in
BCA - Bachelor of Computer Applications,UG,1,26,82302630215,Jiya Bhatt,82302630215@hicas.ac.in
BCA - Bachelor of Computer Applications,UG,1,26,82302630216,Meera Mehta,82302630216@hicas.ac.in
BCA - Bachelor of Computer Applications,UG,1,26,82302630217,Ritvik Shukla,82302630217@hicas.ac.in
BCA - Bachelor of Computer Applications,UG,1,26,82302630218,Myra Pillai,82302630218@hicas.ac.in
BCA - Bachelor of Computer Applications,UG,1,26,82302630219,Aarohi Gowda,82302630219@hicas.ac.in
BCA - Bachelor of Computer Applications,UG,1,26,82302630220,Kabir Gowda,82302630220@hicas.ac.in
BCA - Bachelor of Computer Applications,UG,1,26,82302630221,Pranav Kapoor,82302630221@hicas.ac.in
BCA - Bachelor of Computer Applications,UG,1,26,82302630222,Riya Mishra,82302630222@hicas.ac.in
BCA - Bachelor of Computer Applications,UG,1,26,82302630223,Rajat Bose,82302630223@hicas.ac.in
BCA - Bachelor of Computer Applications,UG,1,26,82302630224,Pooja Jain,82302630224@hicas.ac.in
BCA - Bachelor of Computer Applications,UG,1,26,82302630225,Krishna Reddy,82302630225@hicas.ac.in
BCA - Bachelor of Computer Applications,UG,1,26,82302630226,Karthik Gupta,82302630226@hicas.ac.in
BCA - Bachelor of Computer Applications,UG,1,26,82302630227,Arjun Rao,82302630227@hicas.ac.in
BCA - Bachelor of Computer Applications,UG,1,26,82302630228,Vivaan Yadav,82302630228@hicas.ac.in
BCA - Bachelor of Computer Applications,UG,1,26,82302630229,Sara Gupta,82302630229@hicas.ac.in
BCA - Bachelor of Computer Applications,UG,1,26,82302630230,Ira Gupta,82302630230@hicas.ac.in
BCA - Bachelor of Computer Applications,UG,1,26,82302630231,Aarav Nair,82302630231@hicas.ac.in
BCA - Bachelor of Computer Applications,UG,1,26,82302630232,Prisha Mishra,82302630232@hicas.ac.in
BCA - Bachelor of Computer Applications,UG,1,26,82302630233,Vihaan Gupta,82302630233@hicas.ac.in
BCA - Bachelor of Computer Applications,UG,1,26,82302630234,Arjun Pandey,82302630234@hicas.ac.in
BCA - Bachelor of Computer Applications,UG,1,26,82302630235,Aditya Bhatt,82302630235@hicas.ac.in
BCA - Bachelor of Computer Applications,UG,1,26,82302630236,Harsh Nair,82302630236@hicas.ac.in
BCA - Bachelor of Computer Applications,UG,1,26,82302630237,Diya Gupta,82302630237@hicas.ac.in
BCA - Bachelor of Computer Applications,UG,1,26,82302630238,Nikhil Chaudhary,82302630238@hicas.ac.in
BCA - Bachelor of Computer Applications,UG,1,26,82302630239,Anaya Patel,82302630239@hicas.ac.in
BCA - Bachelor of Computer Applications,UG,1,26,82302630240,Myra Kumar,82302630240@hicas.ac.in
BCA - Bachelor of Computer Applications,UG,2,25,82302530201,Aarohi Shukla,82302530201@hicas.ac.in
BCA - Bachelor of Computer Applications,UG,2,25,82302530202,Lavanya Yadav,82302530202@hicas.ac.in
BCA - Bachelor of Computer Applications,UG,2,25,82302530203,Anika Dutta,82302530203@hicas.ac.in
BCA - Bachelor of Computer Applications,UG,2,25,82302530204,Karthik Mukherjee,82302530204@hicas.ac.in
BCA - Bachelor of Computer Applications,UG,2,25,82302530205,Aadhya Mukherjee,82302530205@hicas.ac.in
BCA - Bachelor of Computer Applications,UG,2,25,82302530206,Ayaan Patel,82302530206@hicas.ac.in
BCA - Bachelor of Computer Applications,UG,2,25,82302530207,Mohammed Reddy,82302530207@hicas.ac.in
BCA - Bachelor of Computer Applications,UG,2,25,82302530208,Riya Mehta,82302530208@hicas.ac.in
BCA - Bachelor of Computer Applications,UG,2,25,82302530209,Yash Mehta,82302530209@hicas.ac.in
BCA - Bachelor of Computer Applications,UG,2,25,82302530210,Ayaan Bose,82302530210@hicas.ac.in
BCA - Bachelor of Computer Applications,UG,2,25,82302530211,Keerthi Kulkarni,82302530211@hicas.ac.in
BCA - Bachelor of Computer Applications,UG,2,25,82302530212,Vihaan Chaudhary,82302530212@hicas.ac.in
BCA - Bachelor of Computer Applications,UG,2,25,82302530213,Pari Mishra,82302530213@hicas.ac.in
BCA - Bachelor of Computer Applications,UG,2,25,82302530214,Mohammed Iyer,82302530214@hicas.ac.in
BCA - Bachelor of Computer Applications,UG,2,25,82302530215,Siddharth Kulkarni,82302530215@hicas.ac.in
BCA - Bachelor of Computer Applications,UG,2,25,82302530216,Harsh Mukherjee,82302530216@hicas.ac.in
BCA - Bachelor of Computer Applications,UG,2,25,82302530217,Keerthi Reddy,82302530217@hicas.ac.in
BCA - Bachelor of Computer Applications,UG,2,25,82302530218,Karthik Patel,82302530218@hicas.ac.in
BCA - Bachelor of Computer Applications,UG,2,25,82302530219,Kabir Verma,82302530219@hicas.ac.in
BCA - Bachelor of Computer Applications,UG,2,25,82302530220,Krishna Kumar,82302530220@hicas.ac.in
BCA - Bachelor of Computer Applications,UG,2,25,82302530221,Manav Singh,82302530221@hicas.ac.in
BCA - Bachelor of Computer Applications,UG,2,25,82302530222,Nikhil Bose,82302530222@hicas.ac.in
BCA - Bachelor of Computer Applications,UG,2,25,82302530223,Karthik Bhatt,82302530223@hicas.ac.in
BCA - Bachelor of Computer Applications,UG,2,25,82302530224,Divya Nair,82302530224@hicas.ac.in
BCA - Bachelor of Computer Applications,UG,2,25,82302530225,Krishna Mukherjee,82302530225@hicas.ac.in
BCA - Bachelor of Computer Applications,UG,2,25,82302530226,Keerthi Bhatt,82302530226@hicas.ac.in
BCA - Bachelor of Computer Applications,UG,2,25,82302530227,Sara Reddy,82302530227@hicas.ac.in
BCA - Bachelor of Computer Applications,UG,2,25,82302530228,Vihaan Mishra,82302530228@hicas.ac.in
BCA - Bachelor of Computer Applications,UG,2,25,82302530229,Myra Banerjee,82302530229@hicas.ac.in
BCA - Bachelor of Computer Applications,UG,2,25,82302530230,Aarav Nair,82302530230@hicas.ac.in
BCA - Bachelor of Computer Applications,UG,2,25,82302530231,Divya Pillai,82302530231@hicas.ac.in
BCA - Bachelor of Computer Applications,UG,2,25,82302530232,Harini Gupta,82302530232@hicas.ac.in
BCA - Bachelor of Computer Applications,UG,2,25,82302530233,Atharv Mehta,82302530233@hicas.ac.in
BCA - Bachelor of Computer Applications,UG,2,25,82302530234,Anaya Dutta,82302530234@hicas.ac.in
BCA - Bachelor of Computer Applications,UG,2,25,82302530235,Ritvik Bhatt,82302530235@hicas.ac.in
BCA - Bachelor of Computer Applications,UG,2,25,82302530236,Siddharth Pandey,82302530236@hicas.ac.in
BCA - Bachelor of Computer Applications,UG,2,25,82302530237,Vihaan Singh,82302530237@hicas.ac.in
BCA - Bachelor of Computer Applications,UG,2,25,82302530238,Sameer Sharma,82302530238@hicas.ac.in
BCA - Bachelor of Computer Applications,UG,2,25,82302530239,Sameer Das,82302530239@hicas.ac.in
BCA - Bachelor of Computer Applications,UG,2,25,82302530240,Divya Mukherjee,82302530240@hicas.ac.in
BCA - Bachelor of Computer Applications,UG,3,24,82302430201,Sneha Bose,82302430201@hicas.ac.in
BCA - Bachelor of Computer Applications,UG,3,24,82302430202,Rakesh Mehta,82302430202@hicas.ac.in
BCA - Bachelor of Computer Applications,UG,3,24,82302430203,Ishita Kulkarni,82302430203@hicas.ac.in
BCA - Bachelor of Computer Applications,UG,3,24,82302430204,Sneha Verma,82302430204@hicas.ac.in
BCA - Bachelor of Computer Applications,UG,3,24,82302430205,Riya Gowda,82302430205@hicas.ac.in
BCA - Bachelor of Computer Applications,UG,3,24,82302430206,Anaya Kumar,82302430206@hicas.ac.in
BCA - Bachelor of Computer Applications,UG,3,24,82302430207,Kabir Menon,82302430207@hicas.ac.in
BCA - Bachelor of Computer Applications,UG,3,24,82302430208,Ritvik Iyer,82302430208@hicas.ac.in
BCA - Bachelor of Computer Applications,UG,3,24,82302430209,Ira Kulkarni,82302430209@hicas.ac.in
BCA - Bachelor of Computer Applications,UG,3,24,82302430210,Myra Iyer,82302430210@hicas.ac.in
BCA - Bachelor of Computer Applications,UG,3,24,82302430211,Vaishnavi Rao,82302430211@hicas.ac.in
BCA - Bachelor of Computer Applications,UG,3,24,82302430212,Vihaan Iyer,82302430212@hicas.ac.in
BCA - Bachelor of Computer Applications,UG,3,24,82302430213,Ira Dutta,82302430213@hicas.ac.in
BCA - Bachelor of Computer Applications,UG,3,24,82302430214,Diya Shukla,82302430214@hicas.ac.in
BCA - Bachelor of Computer Applications,UG,3,24,82302430215,Harini Jain,82302430215@hicas.ac.in
BCA - Bachelor of Computer Applications,UG,3,24,82302430216,Atharv Iyer,82302430216@hicas.ac.in
BCA - Bachelor of Computer Applications,UG,3,24,82302430217,Diya Nair,82302430217@hicas.ac.in
BCA - Bachelor of Computer Applications,UG,3,24,82302430218,Harini Singh,82302430218@hicas.ac.in
BCA - Bachelor of Computer Applications,UG,3,24,82302430219,Arjun Shetty,82302430219@hicas.ac.in
BCA - Bachelor of Computer Applications,UG,3,24,82302430220,Arjun Chaudhary,82302430220@hicas.ac.in
BCA - Bachelor of Computer Applications,UG,3,24,82302430221,Keerthi Gupta,82302430221@hicas.ac.in
BCA - Bachelor of Computer Applications,UG,3,24,82302430222,Siddharth Reddy,82302430222@hicas.ac.in
BCA - Bachelor of Computer Applications,UG,3,24,82302430223,Lavanya Yadav,82302430223@hicas.ac.in
BCA - Bachelor of Computer Applications,UG,3,24,82302430224,Karthik Yadav,82302430224@hicas.ac.in
BCA - Bachelor of Computer Applications,UG,3,24,82302430225,Meera Iyer,82302430225@hicas.ac.in
BCA - Bachelor of Computer Applications,UG,3,24,82302430226,Advika Nair,82302430226@hicas.ac.in
BCA - Bachelor of Computer Applications,UG,3,24,82302430227,Ayaan Chaudhary,82302430227@hicas.ac.in
BCA - Bachelor of Computer Applications,UG,3,24,82302430228,Ira Yadav,82302430228@hicas.ac.in
BCA - Bachelor of Computer Applications,UG,3,24,82302430229,Jiya Rao,82302430229@hicas.ac.in
BCA - Bachelor of Computer Applications,UG,3,24,82302430230,Divya Das,82302430230@hicas.ac.in
BCA - Bachelor of Computer Applications,UG,3,24,82302430231,Ritvik Chaudhary,82302430231@hicas.ac.in
BCA - Bachelor of Computer Applications,UG,3,24,82302430232,Prisha Rao,82302430232@hicas.ac.in
BCA - Bachelor of Computer Applications,UG,3,24,82302430233,Karthik Das,82302430233@hicas.ac.in
BCA - Bachelor of Computer Applications,UG,3,24,82302430234,Siddharth Kumar,82302430234@hicas.ac.in
BCA - Bachelor of Computer Applications,UG,3,24,82302430235,Riya Mishra,82302430235@hicas.ac.in
BCA - Bachelor of Computer Applications,UG,3,24,82302430236,Pranav Bose,82302430236@hicas.ac.in
BCA - Bachelor of Computer Applications,UG,3,24,82302430237,Abhinav Shukla,82302430237@hicas.ac.in
BCA - Bachelor of Computer Applications,UG,3,24,82302430238,Anjali Shukla,82302430238@hicas.ac.in
BCA - Bachelor of Computer Applications,UG,3,24,82302430239,Arjun Sharma,82302430239@hicas.ac.in
BCA - Bachelor of Computer Applications,UG,3,24,82302430240,Vikram Shetty,82302430240@hicas.ac.in
B.Sc Information Technology,UG,1,26,82302630301,Anika Reddy,82302630301@hicas.ac.in
B.Sc Information Technology,UG,1,26,82302630302,Arjun Verma,82302630302@hicas.ac.in
B.Sc Information Technology,UG,1,26,82302630303,Ritvik Jain,82302630303@hicas.ac.in
B.Sc Information Technology,UG,1,26,82302630304,Sanjay Kumar,82302630304@hicas.ac.in
B.Sc Information Technology,UG,1,26,82302630305,Divya Chopra,82302630305@hicas.ac.in
B.Sc Information Technology,UG,1,26,82302630306,Lavanya Nair,82302630306@hicas.ac.in
B.Sc Information Technology,UG,1,26,82302630307,Lavanya Gupta,82302630307@hicas.ac.in
B.Sc Information Technology,UG,1,26,82302630308,Rajat Menon,82302630308@hicas.ac.in
B.Sc Information Technology,UG,1,26,82302630309,Atharv Bose,82302630309@hicas.ac.in
B.Sc Information Technology,UG,1,26,82302630310,Aditi Verma,82302630310@hicas.ac.in
B.Sc Information Technology,UG,1,26,82302630311,Prisha Menon,82302630311@hicas.ac.in
B.Sc Information Technology,UG,1,26,82302630312,Advika Mukherjee,82302630312@hicas.ac.in
B.Sc Information Technology,UG,1,26,82302630313,Pari Jain,82302630313@hicas.ac.in
B.Sc Information Technology,UG,1,26,82302630314,Aarav Chaudhary,82302630314@hicas.ac.in
B.Sc Information Technology,UG,1,26,82302630315,Bhavya Verma,82302630315@hicas.ac.in
B.Sc Information Technology,UG,1,26,82302630316,Pranav Shukla,82302630316@hicas.ac.in
B.Sc Information Technology,UG,1,26,82302630317,Riya Reddy,82302630317@hicas.ac.in
B.Sc Information Technology,UG,1,26,82302630318,Lavanya Kumar,82302630318@hicas.ac.in
B.Sc Information Technology,UG,1,26,82302630319,Sanjay Reddy,82302630319@hicas.ac.in
B.Sc Information Technology,UG,1,26,82302630320,Lavanya Reddy,82302630320@hicas.ac.in
B.Sc Information Technology,UG,1,26,82302630321,Vaishnavi Verma,82302630321@hicas.ac.in
B.Sc Information Technology,UG,1,26,82302630322,Shaurya Das,82302630322@hicas.ac.in
B.Sc Information Technology,UG,1,26,82302630323,Rakesh Shetty,82302630323@hicas.ac.in
B.Sc Information Technology,UG,1,26,82302630324,Ritvik Gowda,82302630324@hicas.ac.in
B.Sc Information Technology,UG,1,26,82302630325,Harsh Patel,82302630325@hicas.ac.in
B.Sc Information Technology,UG,1,26,82302630326,Saanvi Mishra,82302630326@hicas.ac.in
B.Sc Information Technology,UG,1,26,82302630327,Harini Das,82302630327@hicas.ac.in
B.Sc Information Technology,UG,1,26,82302630328,Diya Dutta,82302630328@hicas.ac.in
B.Sc Information Technology,UG,1,26,82302630329,Sanjay Pandey,82302630329@hicas.ac.in
B.Sc Information Technology,UG,1,26,82302630330,Tara Bhatt,82302630330@hicas.ac.in
B.Sc Information Technology,UG,1,26,82302630331,Vihaan Nair,82302630331@hicas.ac.in
B.Sc Information Technology,UG,1,26,82302630332,Navya Mehta,82302630332@hicas.ac.in
B.Sc Information Technology,UG,1,26,82302630333,Aditi Das,82302630333@hicas.ac.in
B.Sc Information Technology,UG,1,26,82302630334,Aditya Sharma,82302630334@hicas.ac.in
B.Sc Information Technology,UG,1,26,82302630335,Harsh Pillai,82302630335@hicas.ac.in
B.Sc Information Technology,UG,1,26,82302630336,Ishaan Mishra,82302630336@hicas.ac.in
B.Sc Information Technology,UG,1,26,82302630337,Sanjay Singh,82302630337@hicas.ac.in
B.Sc Information Technology,UG,1,26,82302630338,Vaishnavi Bose,82302630338@hicas.ac.in
B.Sc Information Technology,UG,1,26,82302630339,Sara Gowda,82302630339@hicas.ac.in
B.Sc Information Technology,UG,1,26,82302630340,Manav Verma,82302630340@hicas.ac.in
B.Sc Information Technology,UG,2,25,82302530301,Aarav Reddy,82302530301@hicas.ac.in
B.Sc Information Technology,UG,2,25,82302530302,Arjun Pandey,82302530302@hicas.ac.in
B.Sc Information Technology,UG,2,25,82302530303,Ishita Pandey,82302530303@hicas.ac.in
B.Sc Information Technology,UG,2,25,82302530304,Shaurya Verma,82302530304@hicas.ac.in
B.Sc Information Technology,UG,2,25,82302530305,Aditya Banerjee,82302530305@hicas.ac.in
B.Sc Information Technology,UG,2,25,82302530306,Rajat Yadav,82302530306@hicas.ac.in
B.Sc Information Technology,UG,2,25,82302530307,Sara Kumar,82302530307@hicas.ac.in
